,name,PBE/6-31G*,CCSD(T)/6-31G*
0,CHNH2,-80.65894788323203,-69.83340482954227
1,CH2NH,-80.65894788323203,-69.83340482954227
2,NH2CN,-99.35133507907157,-81.90556666087359
3,HNCNH,-99.35133507907157,-81.90556666087359
4,HCCCN,-123.73943446553021,-110.71522298021009
5,CH3O-,-84.08910848280648,-72.69190388178103
6,CH3O+,-48.27262473969604,-40.502424897754096
7,H3O2+,-24.241372138209407,-15.855459537403657
8,NH2OH+,-31.265519373642746,-20.327024151568185
9,HCCOH,-109.0271900731721,-97.41675738441117
10,C2H2O,-109.02719007316918,-97.41675738441408
11,C3O2,-140.17970128446467,-123.15837870415999
12,ONONO,-88.15619536800077,-66.35375204822631
13,N2O3,-88.15619536799495,-66.35375204822631
14,C2H4+,-54.842952944694844,-47.03066871996028
15,C3H3,-102.62004058516322,-92.25713921179704
16,C3H3,-102.62004058516322,-92.25713921179704
17,C4H2,-118.20181340350003,-107.15534473615844
18,N2H4,-72.66302181920764,-60.86406524449558
19,CH2NH2+,-57.75085926419464,-48.857585347051405
20,NH3CN+,-64.25165614862878,-51.79810230065535
21,HNCNH2+,-64.25165614862878,-51.79810230065292
22,HCCNH2,-100.10521920113388,-87.87056161334476
23,H2CNCH,-100.10521920113388,-87.87056161334476
24,HCNCH2+,-59.52041646783133,-48.406699970238456
25,CH3NC,-100.10521920113388,-87.87056161334476
26,CH3CN,-100.10521920113388,-87.87056161334476
27,H2CNCN,-103.2754049679861,-87.85770522808646
28,CH3OH,-84.63237620434423,-75.93718576393924
29,NH3OH+,-41.62290428142296,-32.166649395386536
30,NH2OH2+,-41.622904281425384,-32.166649395386536
31,CH2COH+,-65.62770935029403,-55.700089996079136
32,HOCHNH,-95.94167360228312,-83.94881594587059
33,CH2NOH,-95.94167360228312,-83.94881594587059
34,CH3CO+,-65.62770935029646,-55.700089996079136
35,CH3OO,-80.0924099933424,-68.96635174301143
36,CH2CHO,-98.75508491097571,-88.45765330681995
37,H2NO3+,-45.47322290856391,-30.23049260798628
38,C2H5,-86.65967595931268,-78.01860121432712
39,CH2CCH2,-101.30205494206997,-92.02988469154765
40,CH3NH2,-82.93480322301288,-73.12440936234634
41,N2H5+,-48.89656139888185,-38.66349505225454
42,CH2CHNH,-93.55287430550379,-83.00892160663872
43,C3H3N,-111.00022063654615,-99.8494660132128
44,CH3N3,-93.2162009268733,-77.36710351773114
45,CH2N4,-101.2389163260689,-83.3412691208983
46,H5O2+,-48.793478503095685,-41.37855660854257
47,H2CONH2+,-66.74565223270994,-56.37919473997109
48,NH2CHOH+,-66.74565223270994,-56.37919473997317
49,H2OH2CO,-86.0698552764287,-77.43308252878238
50,CH3CHO+,-63.82295853525284,-54.107407688549884
51,C2H4O+,-63.82295853525284,-54.107407688549884
52,CH2CHOH,-97.8317309148198,-88.21918126604785
53,CH3ONO,-89.58768016256259,-75.87821017579076
54,NH2COOH,-89.58768016256259,-75.87821017579076
55,C3H2O2,-114.3371514521298,-102.71737742759953
56,CHOCOOH,-111.08609716390492,-98.84033728628336
57,C2H6,-89.19403402828539,-80.8061145997126
58,CH3CHCH,-93.71200916705857,-84.46424465156815
59,C3H5+,-74.21591732277375,-65.60836934801955
60,C4H4,-101.86279352754718,-89.91705179874953
61,C4H4,-101.86279352754718,-89.91705179874953
62,NH3NH3,-73.08567164372107,-63.13846955313602
63,CH3NH3,-70.74464854957205,-59.85335848455725
64,CH3CHNH,-92.5185067108414,-81.08183224401364
65,CH2CHNH2,-92.5185067108414,-81.08183224401364
66,NH2CCNH2,-98.78403785883347,-87.07235710571877
67,CH3NHN2+,-66.56105474429023,-53.13533183420077
68,C3H3N2,-109.61609176256752,-95.80084214529415
69,NH2CH2OH,-85.43524302856349,-75.19452289086439
70,CH3CHOH+,-67.15704807129441,-58.40250571285651
71,CH3OCH2,-88.87373906630637,-79.41097382789667
72,NH3COOH+,-73.26356882664913,-62.26434609264106
73,HOCH2OOH,-92.67530334256298,-82.72668808482922
74,NH2COOH2+,-73.26356882664913,-62.264346092637425
75,C3H4O,-104.95098778491956,-94.76321355780237
76,NH2CONH2,-95.15003687716307,-82.52132917721246
77,H2OHCOOH,-92.67530334256662,-82.72668808482922
78,C3H4O,-104.95098778491956,-94.76321355780237
79,CH2CHCHO,-104.9509877849232,-94.76321355780419
80,C3H2O3,-117.99473227413182,-105.03956178898807
81,C2H7+,-60.92740239693214,-52.751023435516494
82,CH2CHCH3,-96.14635861051404,-87.22247621441622
83,N2H7+,-57.91518430909491,-48.349778213957
84,C2H6N+,-71.45973584636522,-61.998775038082385
85,CH5N3,-90.07517655385567,-77.12616921695978
86,C4H4N-,-114.32237195290833,-101.25490461890392
87,CH3CH2OH,-89.11015111000354,-80.05065668700101
88,CH3OHH2O,-81.48568833935617,-73.1716749140679
89,CH3CHNOH,-96.66446404290521,-85.44473316385928
90,CH3COCH2,-98.81192263077537,-88.79589439501514
91,H2NCOHNH2+,-72.95947526574471,-61.330817353737075
92,HOCHCCHOH,-106.17244281140545,-95.62895753920829
93,CH3COCCH,-109.05997601020823,-98.63292886432221
94,C2H4O3,-100.73645419258133,-90.07074376227037
95,C4H4O,-109.05997601020499,-98.63292886431898
96,C3H4O2,-106.1724428114022,-95.62895753920829
97,HOCH2COOH,-100.73645419258456,-90.07074376227037
98,C3H7,-90.7829762887748,-81.84410344999633
99,CH3CHCH3,-90.78297628877627,-81.84410344999779
