,name,B3LYP/6-31G*,CCSD(T)/6-31G*
0,CHNH2,-79.6139818379932,-69.83340482954227
1,CH2NH,-79.6139818379932,-69.83340482954227
2,NH2CN,-95.78292191223008,-81.90556666087359
3,HNCNH,-95.78292191222718,-81.90556666087359
4,HCCCN,-118.93619365579507,-110.71522298021009
5,CH2OH,-80.09976949417323,-71.7422310439928
6,CH3O-,-82.81399897254013,-72.69190388178103
7,CH3O+,-46.470030765677805,-40.502424897754096
8,H3O2+,-21.561689420012407,-15.855459537403657
9,NH2OH+,-28.802676919629448,-20.327024151568185
10,HCCOH,-105.38762735355121,-97.41675738441117
11,C2H2O,-105.38762735355121,-97.41675738441408
12,C3O2,-131.8231988245796,-123.15837870415999
13,C2H4+,-54.36230926845504,-47.03066871996028
14,C3H3,-100.41092413664592,-92.25713921179704
15,C3H3,-100.41092413664592,-92.25713921179704
16,C4H2,-114.40917887117637,-107.15534473615844
17,N2H4,-71.91017193026103,-60.86406524449558
18,CH2NH2+,-56.71979935146737,-48.857585347051405
19,NH3CN+,-61.34603249815215,-51.79810230065535
20,HNCNH2+,-61.3460324981473,-51.79810230065292
21,HCCNH2,-97.56217728461827,-87.87056161334476
22,H2CNCH,-97.5621772846207,-87.87056161334476
23,HCNCH2+,-56.41700859113189,-48.406699970238456
24,CH3NC,-97.56217728462313,-87.87056161334476
25,CH3CN,-97.56217728462313,-87.87056161334476
26,H2CNCN,-98.74181464596283,-87.85770522808646
27,CH3OH,-83.86740281687283,-75.93718576393924
28,NH3OH+,-40.00693761947332,-32.166649395386536
29,NH2OH2+,-40.00693761947332,-32.166649395386536
30,CH2COH+,-62.48918345138858,-55.700089996079136
31,HOCHNH,-93.36582868866147,-83.94881594587059
32,CH2NOH,-93.36582868866147,-83.94881594587059
33,CH3CO+,-62.489183451391,-55.700089996079136
34,CH3OO,-77.22427275812272,-68.96635174301143
35,CH2CHO,-96.30347271615756,-88.45765330681995
36,H2NO3+,-38.37917601738203,-30.23049260798628
37,C2H5,-86.32019144085123,-78.01860121432712
38,CH2CCH2,-99.66694442577553,-92.02988469154765
39,CH3NH2,-82.57695377598013,-73.12440936234634
40,N2H5+,-47.996286968365894,-38.66349505225454
41,CH2CHNH,-92.09769185439134,-83.00892160663872
42,C3H3N,-108.15313430546459,-99.8494660132128
43,CH3N3,-89.10999628352043,-77.36710351773114
44,CH2N4,-95.74108886996484,-83.3412691208983
45,H5O2+,-47.733944896134616,-41.37855660854257
46,H2CONH2+,-64.43897085297378,-56.37919473997109
47,NH2CHOH+,-64.43897085297378,-56.37919473997317
48,H2OH2CO,-84.54910398349082,-77.43308252878238
49,CH3CHO+,-61.63916723359684,-54.107407688549884
50,C2H4O+,-61.63916723359684,-54.107407688549884
51,CH2CHOH,-95.99369733327434,-88.21918126604785
52,C3H2O2,-109.6562660033482,-102.71737742759953
53,CHOCOOH,-106.1649966582814,-98.84033728628336
54,C2H6,-89.04364232213175,-80.8061145997126
55,CH3CHCH,-92.45147631807231,-84.46424465156815
56,C3H5+,-72.98574024458503,-65.60836934801955
57,C4H4,-97.92538525679629,-89.91705179874953
58,C4H4,-97.92538525679629,-89.91705179874953
59,NH3NH3,-73.2521150187331,-63.13846955313602
60,CH3NH3,-69.97507248782404,-59.85335848455725
61,CH3CHNH,-91.26378894225854,-81.08183224401364
62,CH2CHNH2,-91.26378894225854,-81.08183224401364
63,NH2CCNH2,-96.51661041101215,-87.07235710571877
64,CH3NHN2+,-63.20467366098637,-53.13533183420077
65,C3H3N2,-105.73259365859485,-95.80084214529415
66,NH2CH2OH,-84.13019512372011,-75.19452289086439
67,CH3CHOH+,-65.21334178162942,-58.40250571285651
68,CH3OCH2,-87.52169577183304,-79.41097382789667
69,NH3COOH+,-70.19909184988501,-62.26434609264106
70,HOCH2OOH,-89.96883740190606,-82.72668808482922
71,NH2COOH2+,-70.19909184988501,-62.264346092637425
72,C3H4O,-102.4324843723316,-94.76321355780237
73,NH2CONH2,-92.57178442272925,-82.52132917721246
74,H2OHCOOH,-89.96883740190606,-82.72668808482922
75,C3H4O,-102.4324843723316,-94.76321355780237
76,CH2CHCHO,-102.43248437233524,-94.76321355780419
77,C3H2O3,-112.37121321574159,-105.03956178898807
78,C2H7+,-60.4970975427843,-52.751023435516494
79,CH2CHCH3,-95.21049167260288,-87.22247621441622
80,N2H7+,-57.55845638597222,-48.349778213957
81,C2H6N+,-69.97899095331377,-61.998775038082385
82,CH5N3,-88.04370777095512,-77.12616921695978
83,C4H4N-,-110.91838301039631,-101.25490461890392
84,CH3CH2OH,-88.21488756164035,-80.05065668700101
85,CH3OHH2O,-80.71657863881491,-73.1716749140679
86,CH3CHNOH,-94.50986952410474,-85.44473316385928
87,CH3COCH2,-96.82249311214319,-88.79589439501514
88,H2NCOHNH2+,-70.28064088116905,-61.330817353737075
89,HOCHCCHOH,-103.0009507164553,-95.62895753920829
90,CH3COCCH,-105.97861166610124,-98.63292886432221
91,C2H4O3,-97.43732322490865,-90.07074376227037
92,C4H4O,-105.978611666098,-98.63292886431898
93,C3H4O2,-103.00095071645208,-95.62895753920829
94,HOCH2COOH,-97.43732322490541,-90.07074376227037
95,C3H7,-90.1021985096144,-81.84410344999633
96,CH3CHCH3,-90.1021985096173,-81.84410344999779
97,C3H7+,-72.35974464106258,-64.87869456296175
98,C4H6,-100.61121470723592,-92.71048486461223
99,C4H6,-100.61121470723592,-92.71048486461223
100,CH3CCCH3,-100.61121470723883,-92.71048486461223
101,CHCCH2CH3,-100.61121470723592,-92.71048486461223
102,C5H5-,-110.78250530600926,-102.0464961743055
103,CH3NHCH3,-86.81401106019912,-77.72113163001632
104,CH3OOCH3,-83.87461548530555,-74.72911338876293
105,C3H6O,-95.50116391302144,-87.63429735123354
106,C2H6O2,-83.87461548530555,-74.72911338876584
107,CH3COCH3-,-93.0061862448376,-83.90689107632643
108,C3H5OH,-95.5011639130229,-87.63429735123354
109,CH3OCH2CN,-98.38257639643561,-90.1381274383748
110,C2H4CO3,-104.15056503218656,-96.56753643810517
111,CH3CHCHCH2,-96.4973519708014,-88.23072187336484
112,C5H6,-101.16572771268098,-93.93414467073374
113,C5H6,-101.16572771268098,-93.93414467073374
114,C5H6,-101.16572771268098,-93.93414467073374
115,C6H5-,-113.43506866548242,-104.81514813717645
116,CH3CH2NH3+,-71.55736239823455,-63.450854864669964
117,C4H6N+,-86.19959239110308,-78.57866050063272
118,C4H6N+,-86.19959239110308,-78.57866050063272
119,CH3COOCH3,-98.42678087080871,-90.83394013760898
120,C2H5NO3,-87.62479786519279,-78.80577436856798
121,CH3CHCHCH3,-95.78509861167913,-87.85612133649313
122,CH3CHCHCH3,-95.78509861167913,-87.85612133649313
123,C6H6,-103.1548661886045,-95.60113719815854
124,C6H6,-103.1548661886045,-95.60113719815854
125,C6H6,-103.1548661886045,-95.60113719815854
126,C6H6,-103.1548661886045,-95.60113719815854
127,CH3NHNHCH3,-84.38852229123707,-73.88700343963744
128,C3H7OH,-90.83892027399149,-82.77532369103089
129,C3H6O3,-95.67006240760384,-88.08673260254727
130,C5H6O,-105.56749145122012,-97.79024597753353
131,C5H8,-97.71750464812234,-90.10691127099562
132,C5H8,-97.71750464812234,-90.10691127099562
133,C5H8,-97.71750464812234,-90.10691127099562
134,C5H8,-97.71750464812234,-90.10691127099562
135,C5H8,-97.71750464812234,-90.10691127099562
136,C5H8,-97.71750464812234,-90.10691127099562
137,C5H8,-97.71750464812234,-90.10691127099562
138,C6H7+,-95.267506533374,-87.7032029486727
139,C4H7NO,-98.47304477519803,-90.34309015226721
140,C4H7NO,-98.47304477519803,-90.34309015226721
141,C6H6O,-110.82018356612669,-103.2312441027271
142,C6H6O,-110.82018356612669,-103.2312441027271
143,C7H7+,-100.8103936795877,-93.19816437140564
