Name	Gen1.9	Gen2.8	Gen3.9zbl	PBED2	ReaxFF2014	ReaxFIW	ReaxFFLG	ReaxFF2018	Exp
Nitromethane	-16.73605391	-137.1514004	-27.35003105	-34.69746956	-4.953529297	-30.20411738	-10.4186293	-19.93682109	-19.31166
Methyl_Nitrate	-81.25615391	-165.0618004	-39.78473105	-34.72484815	-35.8155793	-70.04311738	-21.1647793	-50.45892109	-29.1587
Ethyl_Nitrate	-96.70955781	-231.0147508	-55.94211211	-28.40300626	-61.35260859	-68.16083477	18.39039141	-74.65719219	-25.8126
Nitroglycerine	-222.8737617	-367.8266012	-117.0768932	-70.61233797	-45.19843789	-191.5673521	-104.2742379	-84.67416328	-66.706501
Tert_nitrobutane	-67.67296563	-339.8442516	-66.92497422	-80.63705921	-76.53501719	-49.75766953	32.69638281	-88.60253438	-42.3
PETN	-319.3895195	-532.729852	-156.3633053	-102.6259418	-59.85224648	-252.0338869	-122.1191465	-114.5219555	-92.4
TNT	-11.82147734	-249.7381027	-23.95061738	-20.63185948	41.87999492	-93.42692168	34.37529492	6.675552344	-16.01338
Trinitromethane	-35.09985391	-116.8583004	-26.77193105	7.130637801	118.6170707	-58.66641738	11.7642707	64.22167891	-3.2
Dinitromethane	-41.52900391	-131.5009504	-13.84848105	-20.10728401	51.2778707	-48.53461738	6.611370703	17.55932891	-14.1
RDX	-78.49791172	-294.5134512	-28.26584316	21.13239838	75.25801211	3.710547852	129.8413121	-27.30291328	45.8
1-Nitropropane	-62.91746172	-274.5528012	-35.59559316	-68.44285522	-58.19288789	-35.14405215	7.183912109	-70.93336328	-29.8
2-Nitropropane	-59.21296172	-260.6726012	-33.77249316	-66.58635248	-53.28608789	-41.48885215	11.55041211	-66.47746328	-33.5
n-Propyl_nitrate	-103.2840617	-302.9998012	-66.10839316	-61.77099025	-87.44163789	-65.51465215	6.974962109	-97.34346328	-41.6
Isopropyl_nitrate	-104.3240617	-300.9144012	-68.52339316	-74.55891434	-83.38503789	-73.39365215	-30.89583789	-96.31936328	-45.6
4,5-Furazandimethanol_dinitrate	-0.501615625	-206.1740016	9.576075781	7.894275006	91.15763281	-55.89366953	34.60923281	26.65061563	2.6
1,4-Dinitropiperazine	-57.70821563	-328.1468016	-37.09052422	-36.0255104	2.776882813	-26.66536953	86.05198281	-60.23428438	13.9
1-Nitrobutane	-69.14416562	-343.7540516	-40.09337422	-79.21387266	-85.00111719	-35.32426953	41.91738281	-95.26153437	-34.4
2-Nitrobutane	-74.07996563	-324.3527516	-37.97477422	-83.04310559	-79.95771719	-40.86466953	42.54098281	-91.94583438	-39.1
1-Nitropiperidine	-74.03471953	-373.013752	-44.52690527	-54.61754032	-77.59684648	-10.53028691	90.86585352	-106.6483555	-10.6
m-Nitroaniline	6.590876562	-191.3278023	14.04281367	-23.49734668	-54.44947578	-25.5350043	33.79262422	-73.48382656	14.9
p-Nitrotoluene	0.035922656	-213.7507027	21.98018262	-44.60005254	-56.49640508	-24.42532168	32.31449492	-56.13944766	7.9
Nitroguanidine	-35.88890391	-172.9790504	-39.79068105	13.47160074	8.233870703	31.29178262	73.9170707	-54.07877109	10.7
NTO	-36.69840781	-133.2483008	-70.30776211	-30.96706401	45.05909141	1.371465234	69.58309141	-41.52984219	-0.9
FOX-7	-32.38080781	-217.2051008	-56.72306211	-2.891356542	21.71194141	-26.24813477	54.03604141	-55.66694219	0.1
TATB	-21.10462344	-338.4164023	-70.35238633	-13.76094402	-16.67597578	-84.8460043	44.68892422	-119.7661266	-0.7
HMX	-134.3990156	-390.2385016	-49.48672422	42.93291146	86.63758281	-3.806769531	175.6558828	-55.92158437	61.7
